target_id	length	eff_length	est_counts	tpm
ACTB	72	73	19727	152643
ALS2	69	70	190	1533.18
ANXA11	65	66	20	171.169
ATP13A2	74	75	921	6936.44
ATP6V0A1	54	55	3304	33932.5
C1orf43	66	67	2233	18825.7
C9orf72	56	57	924	9156.63
CALCOCO2	54	55	68	698.368
CHMP2B	60	61	516	4778.13
CLN5	74	75	321	2417.59
CRLS1	61	62	600	5466.36
CTSB	74	75	986	7425.98
CTSD	75	76	123	914.176
CTSL	58	59	325	3111.5
DCTN1	76	77	3619	26548.3
FUS	83	84	4921	33091.2
FYN	59	60	2698	25399.7
GALC	55	56	797	8039.12
GBA	66	67	615	5184.88
GCH1	56	57	169	1674.75
GRN	65	66	599	5126.5
GSTO1	56	57	165	1635.11
GUSB	59	60	193	1816.96
HMBS	62	63	154	1380.76
HMOX1	66	67	13	109.599
HNRNPA2B1	50	51	10760	119174
KIF5A	62	63	5810	52092.3
LRRK2	53	54	62	648.539
MAPT	69	70	1447	11676.4
MCCC1	57	58	259	2522.38
NAGLU	70	71	29	230.716
NBR1	61	62	1103	10049
NEU1	70	71	498	3961.95
NQO1	84	85	14	93.0352
OPTN	64	65	651	5657.26
OXR1	72	73	1305	10097.8
PARK2	55	56	88	887.632
PARK7	62	63	1636	14668.3
PFN1	77	78	2151	15577
PINK1	67	68	434	3605.12
PSAP	71	72	3284	25763.7
PSMB4	64	65	1095	9515.66
SCARB2	63	64	4615	40731.5
SETX	60	61	821	7602.42
SNCA	58	59	3849	36849.7
SOD1	62	63	2433	21814.2
SQSTM1	66	67	1394	11752.4
STX17	57	58	238	2317.86
TARDBP	60	61	3726	34502.6
TAX1BP1	63	64	1113	9823.21
TBK1	59	60	262	2466.54
TMEM106B	54	55	744	7640.97
TMEM175	70	71	948	7542.03
VAPB	64	65	1332	11575.2
VCP	70	71	3267	25991.4
VPS13C	54	55	1016	10434.4
VPS35	68	69	2092	17125.8
CLN8	63	64	104	917.892
CHCHD10	72	73	560	4333.15
CHCHD2	65	66	2	17.1169
GAPDH	135	27.9714	5067	102324
