target_id	length	eff_length	est_counts	tpm
ACTB	72	73	47674	166920
ALS2	69	70	434	1584.68
ANXA11	65	66	62	240.102
ATP13A2	74	75	2451	8352.77
ATP6V0A1	54	55	8363	38864
C1orf43	66	67	4175	15926.9
C9orf72	56	57	2116	9488.32
CALCOCO2	54	55	116	539.068
CHMP2B	60	61	1012	4240.33
CLN5	74	75	647	2204.91
CRLS1	61	62	1605	6616.55
CTSB	74	75	2097	7146.37
CTSD	75	76	201	675.976
CTSL	58	59	764	3309.71
DCTN1	76	77	5650	18754.5
FUS	83	84	12708	38667.5
FYN	59	60	6753	28767
GALC	55	56	1982	9046.16
GBA	66	67	1639	6252.49
GCH1	56	57	415	1860.89
GRN	65	66	1364	5282.25
GSTO1	56	57	477	2138.91
GUSB	59	60	394	1678.39
HMBS	62	63	544	2207.02
HMOX1	66	67	54	206
HNRNPA2B1	50	51	28002	140335
KIF5A	62	63	14498	58818.8
LRRK2	53	54	179	847.243
MAPT	69	70	3160	11538.2
MCCC1	57	58	750	3305.08
NAGLU	70	71	83	298.792
NBR1	61	62	2533	10442.2
NEU1	70	71	1412	5083.06
NQO1	84	85	33	99.2301
OPTN	64	65	1546	6079.18
OXR1	72	73	3116	10910
PARK2	55	56	167	762.214
PARK7	62	63	7070	28683.2
PFN1	77	78	3328	10905.3
PINK1	67	68	735	2762.66
PSAP	71	72	6886	24444.6
PSMB4	64	65	2043	8033.48
SCARB2	63	64	10397	41521.8
SETX	60	61	1611	6750.16
SNCA	58	59	10773	46669.5
SOD1	62	63	4726	19173.5
SQSTM1	66	67	2893	11036.3
STX17	57	58	721	3177.28
TARDBP	60	61	8699	36449.2
TAX1BP1	63	64	3063	12232.5
TBK1	59	60	584	2487.77
TMEM106B	54	55	1660	7714.25
TMEM175	70	71	2342	8430.96
VAPB	64	65	3528	13872.8
VCP	70	71	7102	25566.5
VPS13C	54	55	3008	13978.6
VPS35	68	69	5739	21258.6
CLN8	63	64	304	1214.07
CHCHD10	72	73	1196	4187.52
CHCHD2	65	66	0	0
GAPDH	135	28.1976	2202	19959.7
