target_id	length	eff_length	est_counts	tpm
ACTB	72	73	31628	116856
ALS2	69	70	466	1795.52
ANXA11	65	66	38	155.29
ATP13A2	74	75	1445	5196.48
ATP6V0A1	54	55	8862	43458.2
C1orf43	66	67	3490	14049.3
C9orf72	56	57	2173	10282.2
CALCOCO2	54	55	177	867.987
CHMP2B	60	61	1159	5124.56
CLN5	74	75	514	1848.44
CRLS1	61	62	1592	6925.55
CTSB	74	75	1363	4901.59
CTSD	75	76	56	198.736
CTSL	58	59	984	4498.27
DCTN1	76	77	3741	13103.9
FUS	83	84	8656	27793.3
FYN	59	60	8835	39715.3
GALC	55	56	2247	10822.3
GBA	66	67	1648	6634.15
GCH1	56	57	559	2645.09
GRN	65	66	1394	5696.68
GSTO1	56	57	575	2720.79
GUSB	59	60	679	3052.26
HMBS	62	63	351	1502.69
HMOX1	66	67	35	140.895
HNRNPA2B1	50	51	37764	199715
KIF5A	62	63	18391	78734.9
LRRK2	53	54	228	1138.79
MAPT	69	70	1508	5810.4
MCCC1	57	58	933	4338.67
NAGLU	70	71	76	288.707
NBR1	61	62	3028	13172.5
NEU1	70	71	1478	5614.6
NQO1	84	85	26	82.5006
OPTN	64	65	1028	4265.62
OXR1	72	73	2862	10574.2
PARK2	55	56	263	1266.69
PARK7	62	63	9027	38646.1
PFN1	77	78	815	2818.16
PINK1	67	68	553	2193.41
PSAP	71	72	4148	15538.5
PSMB4	64	65	2125	8817.56
SCARB2	63	64	11978	50478.6
SETX	60	61	2198	9718.53
SNCA	58	59	1931	8827.4
SOD1	62	63	6477	27729.1
SQSTM1	66	67	3144	12656.4
STX17	57	58	720	3348.17
TARDBP	60	61	10708	47345.8
TAX1BP1	63	64	4006	16882.4
TBK1	59	60	684	3074.73
TMEM106B	54	55	2217	10871.9
TMEM175	70	71	2406	9139.87
VAPB	64	65	3323	13788.6
VCP	70	71	7013	26640.9
VPS13C	54	55	2660	13044.3
VPS35	68	69	4708	18403.1
CLN8	63	64	309	1302.21
CHCHD10	72	73	892	3295.68
CHCHD2	65	66	0	0
GAPDH	81	82	137	450.619
