target_id	length	eff_length	est_counts	tpm
ACTB	72	73	41249	145691
ALS2	69	70	488	1797.48
ANXA11	65	66	68	265.648
ATP13A2	74	75	1924	6614.32
ATP6V0A1	54	55	7920	37128.2
C1orf43	66	67	4859	18698.8
C9orf72	56	57	2056	9300.14
CALCOCO2	54	55	190	890.701
CHMP2B	60	61	924	3905.56
CLN5	74	75	506	1739.52
CRLS1	61	62	1410	5863.66
CTSB	74	75	2285	7855.36
CTSD	75	76	231	783.681
CTSL	58	59	814	3557.24
DCTN1	76	77	7281	24380.4
FUS	83	84	10465	32121.9
FYN	59	60	6431	27635.6
GALC	55	56	1957	9010.4
GBA	66	67	1626	6257.3
GCH1	56	57	457	2067.2
GRN	65	66	1456	5687.99
GSTO1	56	57	386	1746.04
GUSB	59	60	499	2144.32
HMBS	62	63	400	1637.04
HMOX1	66	67	37	142.386
HNRNPA2B1	50	51	28770	145449
KIF5A	62	63	16046	65670
LRRK2	53	54	154	735.306
MAPT	69	70	2864	10549.1
MCCC1	57	58	788	3502.99
NAGLU	70	71	74	268.729
NBR1	61	62	2703	11240.8
NEU1	70	71	1372	4982.38
NQO1	84	85	28	84.9337
OPTN	64	65	1436	5696.16
OXR1	72	73	3409	12040.5
PARK2	55	56	204	939.254
PARK7	62	63	8805	36035.4
PFN1	77	78	2745	9073.79
PINK1	67	68	966	3662.77
PSAP	71	72	6976	24981.3
PSMB4	64	65	2600	10313.4
SCARB2	63	64	11482	46257.1
SETX	60	61	1847	7806.89
SNCA	58	59	10343	45199.7
SOD1	62	63	5598	22910.4
SQSTM1	66	67	3547	13649.8
STX17	57	58	685	3045.11
TARDBP	60	61	8561	36185.6
TAX1BP1	63	64	3067	12355.9
TBK1	59	60	759	3261.61
TMEM106B	54	55	1743	8171.01
TMEM175	70	71	2199	7985.61
VAPB	64	65	3350	13288.4
VCP	70	71	9298	33765.4
VPS13C	54	55	2662	12479.2
VPS35	68	69	5281	19733.7
CLN8	63	64	307	1236.8
CHCHD10	72	73	1485	5244.99
CHCHD2	65	66	3	11.7198
GAPDH	81	82	1674	5263.6
