target_id	length	eff_length	est_counts	tpm
ACTB	72	73	47674	169136
ALS2	69	70	434	1605.71
ANXA11	65	66	62	243.29
ATP13A2	74	75	2451	8463.66
ATP6V0A1	54	55	8363	39380
C1orf43	66	67	4175	16138.3
C9orf72	56	57	2116	9614.29
CALCOCO2	54	55	116	546.225
CHMP2B	60	61	1012	4296.62
CLN5	74	75	647	2234.19
CRLS1	61	62	1605	6704.4
CTSB	74	75	2097	7241.25
CTSD	75	76	201	684.95
CTSL	58	59	764	3353.65
DCTN1	76	77	5650	19003.5
FUS	83	84	12708	39180.9
FYN	59	60	6753	29148.9
GALC	55	56	1982	9166.26
GBA	66	67	1639	6335.49
GCH1	56	57	415	1885.6
GRN	65	66	1364	5352.38
GSTO1	56	57	477	2167.3
GUSB	59	60	394	1700.68
HMBS	62	63	544	2236.32
HMOX1	66	67	54	208.735
HNRNPA2B1	50	51	28002	142199
KIF5A	62	63	14498	59599.7
LRRK2	53	54	179	858.491
MAPT	69	70	3160	11691.4
MCCC1	57	58	750	3348.96
NAGLU	70	71	83	302.758
NBR1	61	62	2533	10580.8
NEU1	70	71	1412	5150.54
NQO1	84	85	33	100.548
OPTN	64	65	1546	6159.88
OXR1	72	73	3116	11054.8
PARK2	55	56	167	772.333
PARK7	62	63	7070	29064
PFN1	77	78	3328	11050.1
PINK1	67	68	735	2799.33
PSAP	71	72	6886	24769.1
PSMB4	64	65	2043	8140.13
SCARB2	63	64	10397	42073.1
SETX	60	61	1611	6839.78
SNCA	58	59	10773	47289.1
SOD1	62	63	4726	19428.1
SQSTM1	66	67	2893	11182.8
STX17	57	58	721	3219.46
TARDBP	60	61	8699	36933.1
TAX1BP1	63	64	3063	12394.9
TBK1	59	60	584	2520.8
TMEM106B	54	55	1660	7816.67
TMEM175	70	71	2342	8542.89
VAPB	64	65	3528	14057
VCP	70	71	7102	25905.9
VPS13C	54	55	3008	14164.2
VPS35	68	69	5739	21540.9
CLN8	63	64	304	1230.18
CHCHD10	72	73	1196	4243.11
CHCHD2	65	66	0	0
GAPDH	81	82	2200	6948.41
