target_id	length	eff_length	est_counts	tpm
ACTB	72	73	19134	124548
ALS2	69	70	278	1887.13
ANXA11	65	66	47	338.383
ATP13A2	74	75	938	5942.88
ATP6V0A1	54	55	4619	39906.2
C1orf43	66	67	2280	16170.2
C9orf72	56	57	1317	10979.1
CALCOCO2	54	55	82	708.445
CHMP2B	60	61	657	5117.89
CLN5	74	75	358	2268.18
CRLS1	61	62	879	6736.78
CTSB	74	75	1079	6836.21
CTSD	75	76	110	687.756
CTSL	58	59	487	3922.22
DCTN1	76	77	3883	23962.5
FUS	83	84	5509	31163.7
FYN	59	60	3768	29841.1
GALC	55	56	1156	9809.01
GBA	66	67	846	5999.99
GCH1	56	57	227	1892.37
GRN	65	66	807	5810.12
GSTO1	56	57	245	2042.43
GUSB	59	60	294	2328.37
HMBS	62	63	181	1365.19
HMOX1	66	67	7	49.6453
HNRNPA2B1	50	51	16228	151199
KIF5A	62	63	8761	66079.7
LRRK2	53	54	105	923.955
MAPT	69	70	1214	8240.92
MCCC1	57	58	429	3514.67
NAGLU	70	71	31	207.472
NBR1	61	62	1641	12576.9
NEU1	70	71	689	4611.22
NQO1	84	85	15	83.8547
OPTN	64	65	756	5526.67
OXR1	72	73	1975	12855.8
PARK2	55	56	120	1018.24
PARK7	62	63	4537	34220.3
PFN1	77	78	1051	6402.7
PINK1	67	68	379	2648.41
PSAP	71	72	2948	19455.9
PSMB4	64	65	1229	8984.5
SCARB2	63	64	7440	55239.3
SETX	60	61	1067	8311.7
SNCA	58	59	5445	43853.2
SOD1	62	63	3390	25569
SQSTM1	66	67	1701	12063.8
STX17	57	58	408	3342.62
TARDBP	60	61	5685	44284.9
TAX1BP1	63	64	1787	13267.8
TBK1	59	60	418	3310.4
TMEM106B	54	55	1083	9356.66
TMEM175	70	71	1268	8486.26
VAPB	64	65	1732	12661.6
VCP	70	71	4697	31435.3
VPS13C	54	55	1514	13080.3
VPS35	68	69	2878	19819.7
CLN8	63	64	183	1358.71
CHCHD10	72	73	599	3899.05
CHCHD2	65	66	1	7.19965
GAPDH	135	28.0164	695	11787.7
