target_id	length	eff_length	est_counts	tpm
ACTB	72	267.718	71240	69407.3
ALS2	69	70	490	1825.81
ANXA11	65	66	37	146.223
ATP13A2	74	75	4488	15608.1
ATP6V0A1	54	55	55	260.83
C1orf43	66	67	4886	19021.2
C9orf72	56	57	1900	8694.34
CALCOCO2	54	55	138	654.447
CHMP2B	60	61	1137	4861.71
CLN5	74	75	625	2173.59
CRLS1	61	62	1408	5923.37
CTSB	74	75	3148	10947.9
CTSD	75	76	618	2120.96
CTSL	58	59	726	3209.54
DCTN1	76	77	9828	33291.4
FUS	83	84	16863	52361.7
FYN	59	60	5616	24413.7
GALC	55	56	1031	4802.07
GBA	66	67	1158	4508.08
GCH1	56	57	545	2493.9
GRN	65	66	1391	5497.2
GSTO1	56	57	306	1400.25
GUSB	59	60	290	1260.68
HMBS	62	63	368	1523.58
HMOX1	66	67	30	116.79
HNRNPA2B1	50	51	19614	100312
KIF5A	62	63	14929	61808.5
LRRK2	53	54	97	468.529
MAPT	69	70	8975	33442.2
MCCC1	57	193.271	502	677.477
NAGLU	70	71	122	448.187
NBR1	61	62	1608	6764.76
NEU1	70	71	2059	7564.08
NQO1	84	85	29	88.9892
OPTN	64	65	1508	6051.26
OXR1	72	73	2936	10490.4
PARK2	55	56	99	461.111
PARK7	62	63	6626	27432.7
PFN1	77	78	8025	26835.4
PINK1	67	68	1399	5366.2
PSAP	71	72	12978	47014.7
PSMB4	64	65	2433	9763.08
SCARB2	63	64	8570	34926.8
SETX	60	61	942	4027.9
SNCA	58	193.271	8447	11399.7
SOD1	62	63	4480	18547.9
SQSTM1	66	67	2859	11130.1
STX17	57	58	425	1911.26
TARDBP	60	61	6400	27365.8
TAX1BP1	63	64	2362	9626.27
TBK1	59	60	576	2503.97
TMEM106B	54	55	845	4007.3
TMEM175	70	71	1969	7233.45
VAPB	64	65	3102	12447.6
VCP	70	71	8653	31788.2
VPS13C	54	55	1632	7739.55
VPS35	68	69	5706	21569.5
CLN8	63	64	287	1169.66
CHCHD10	72	73	1235	4412.68
CHCHD2	65	66	1	3.95197
GAPDH	81	82	52399	166674
