target_id	length	eff_length	est_counts	tpm
ACTB	72	73	78618	151991
ALS2	69	70	682	1375.01
ANXA11	65	66	69	147.545
ATP13A2	74	75	922	1734.96
ATP6V0A1	54	55	12617	32375.2
C1orf43	66	67	7173	15109.3
C9orf72	56	57	2887	7148.11
CALCOCO2	54	55	208	533.728
CHMP2B	60	61	1559	3606.91
CLN5	74	75	946	1780.12
CRLS1	61	62	2028	4616.32
CTSB	74	75	6138	11550.1
CTSD	75	76	964	1790.12
CTSL	58	59	1127	2695.82
DCTN1	76	77	15845	29041.6
FUS	83	84	24718	41529.2
FYN	59	60	7370	17335.5
GALC	55	56	1760	4435.52
GBA	66	67	2147	4522.48
GCH1	56	57	488	1208.27
GRN	65	66	2026	4332.26
GSTO1	56	57	492	1218.18
GUSB	59	60	490	1152.56
HMBS	62	63	627	1404.58
HMOX1	66	67	53	111.64
HNRNPA2B1	50	51	35325	97753.3
KIF5A	62	63	23849	53425.6
LRRK2	53	54	189	493.955
MAPT	69	70	17543	35369.2
MCCC1	57	58	911	2216.71
NAGLU	70	71	178	353.819
NBR1	61	62	2824	6428.25
NEU1	70	71	2048	4070.91
NQO1	84	85	44	73.0555
OPTN	64	65	2383	5174.04
OXR1	72	73	4113	7951.61
PARK2	55	56	146	367.946
PARK7	62	63	10345	23174.4
PFN1	77	78	14653	26512.5
PINK1	67	68	2119	4397.86
PSAP	71	72	23816	46682.7
PSMB4	64	65	3613	7844.66
SCARB2	63	64	15376	33906.5
SETX	60	61	1595	3690.2
SNCA	58	59	11183	26750.1
SOD1	62	63	6209	13909.1
SQSTM1	66	67	3800	8004.39
STX17	57	58	792	1927.15
TARDBP	60	61	9630	22280
TAX1BP1	63	64	4000	8820.63
TBK1	59	60	808	1900.55
TMEM106B	54	55	1556	3992.7
TMEM175	70	71	3161	6283.27
VAPB	64	65	4272	9275.5
VCP	70	71	11433	22725.9
VPS13C	54	55	2698	6923.07
VPS35	68	69	7581	15505.9
CLN8	63	64	336	740.933
CHCHD10	72	73	1831	3539.85
CHCHD2	65	66	8	17.1067
GAPDH	81	82	84115	144770
