target_id	length	eff_length	est_counts	tpm
ACTB	72	73	32786	133810
ALS2	69	70	469	1996.18
ANXA11	65	66	77	347.593
ATP13A2	74	75	1535	6097.78
ATP6V0A1	54	55	7434	40270.2
C1orf43	66	67	3525	15675
C9orf72	56	57	2035	10636.9
CALCOCO2	54	55	115	622.959
CHMP2B	60	61	1003	4898.86
CLN5	74	75	425	1688.31
CRLS1	61	62	1340	6439.28
CTSB	74	75	1342	5331.08
CTSD	75	76	114	446.905
CTSL	58	59	943	4761.94
DCTN1	76	77	4247	16433
FUS	83	84	8985	31868.6
FYN	59	60	5546	27539.3
GALC	55	56	1643	8741.26
GBA	66	67	1485	6603.53
GCH1	56	57	400	2090.79
GRN	65	66	1142	5155.21
GSTO1	56	57	446	2331.23
GUSB	59	60	512	2542.4
HMBS	62	63	416	1967.33
HMOX1	66	67	34	151.192
HNRNPA2B1	50	51	28833	168440
KIF5A	62	63	15859	74999.7
LRRK2	53	54	160	882.776
MAPT	69	70	2019	8593.35
MCCC1	57	58	868	4458.78
NAGLU	70	71	73	306.33
NBR1	61	62	2514	12080.9
NEU1	70	71	1128	4733.42
NQO1	84	85	19	66.5977
OPTN	64	65	1255	5752.47
OXR1	72	73	2662	10864.5
PARK2	55	56	191	1016.18
PARK7	62	63	7862	37180.6
PFN1	77	78	1391	5313.21
PINK1	67	68	524	2295.87
PSAP	71	72	4668	19316.2
PSMB4	64	65	1888	8653.92
SCARB2	63	64	9466	44066.7
SETX	60	61	1712	8361.77
SNCA	58	59	10601	53532.7
SOD1	62	63	4787	22638.5
SQSTM1	66	67	2529	11246
STX17	57	58	698	3585.52
TARDBP	60	61	7424	36260.4
TAX1BP1	63	64	2849	13262.8
TBK1	59	60	601	2984.33
TMEM106B	54	55	1834	9934.84
TMEM175	70	71	2282	9575.94
VAPB	64	65	2848	13054.2
VCP	70	71	6326	26545.8
VPS13C	54	55	2855	15465.6
VPS35	68	69	4569	19728.6
CLN8	63	64	302	1405.89
CHCHD10	72	73	941	3840.53
CHCHD2	65	66	0	0
GAPDH	81	82	305	1108.18
