target_id	length	eff_length	est_counts	tpm
ACTB	72	73	27403	142547
ALS2	69	70	354	1920.38
ANXA11	65	66	32	184.115
ATP13A2	74	75	1482	7503.6
ATP6V0A1	54	55	6235	43048.3
C1orf43	66	67	3231	18312.4
C9orf72	56	57	1529	10186.3
CALCOCO2	54	55	121	835.421
CHMP2B	60	61	695	4326.51
CLN5	74	75	486	2460.69
CRLS1	61	62	966	5916.54
CTSB	74	75	1419	7184.62
CTSD	75	76	171	854.407
CTSL	58	59	633	4074.12
DCTN1	76	77	5649	27858.9
FUS	83	84	8248	37286.5
FYN	59	60	4003	25334.8
GALC	55	56	1188	8055.84
GBA	66	67	1129	6398.85
GCH1	56	57	276	1838.72
GRN	65	66	900	5178.23
GSTO1	56	57	251	1672.17
GUSB	59	60	333	2107.54
HMBS	62	63	332	2001.15
HMOX1	66	67	39	221.041
HNRNPA2B1	50	51	18757	139661
KIF5A	62	63	9773	58907.4
LRRK2	53	54	126	886.052
MAPT	69	70	2484	13475.2
MCCC1	57	58	608	3980.69
NAGLU	70	71	48	256.723
NBR1	61	62	1975	12096.4
NEU1	70	71	825	4412.43
NQO1	84	85	27	120.622
OPTN	64	65	1081	6315.31
OXR1	72	73	2332	12130.8
PARK2	55	56	132	895.094
PARK7	62	63	5243	31602.5
PFN1	77	78	2833	13792.2
PINK1	67	68	51	284.802
PSAP	71	72	4641	24477.2
PSMB4	64	65	1540	8996.84
SCARB2	63	64	7670	45509.1
SETX	60	61	1151	7165.19
SNCA	58	59	6834	43985.1
SOD1	62	63	3615	21789.7
SQSTM1	66	67	1895	10740.3
STX17	57	58	461	3018.25
TARDBP	60	61	6131	38166.6
TAX1BP1	63	64	1818	10786.9
TBK1	59	60	422	2670.81
TMEM106B	54	55	1213	8374.92
TMEM175	70	71	1802	9637.82
VAPB	64	65	2072	12104.8
VCP	70	71	5816	31106.3
VPS13C	54	55	1902	13132
VPS35	68	69	3389	18651.1
CLN8	63	64	271	1607.95
CHCHD10	72	73	853	4437.2
CHCHD2	65	66	2	11.5072
GAPDH	81	82	3780	17504.9
