target_id	length	eff_length	est_counts	tpm
ACTB	72	301.631	90731	36822.9
ALS2	69	70	584	1021.3
ANXA11	65	66	49	90.8846
ATP13A2	74	75	6841	11166
ATP6V0A1	54	55	10922	24309.6
C1orf43	66	67	7408	13535.2
C9orf72	56	57	2193	4709.79
CALCOCO2	54	55	207	460.729
CHMP2B	60	61	1321	2651.01
CLN5	74	75	661	1078.89
CRLS1	61	62	1631	3220.33
CTSB	74	75	5510	8993.49
CTSD	75	76	946	1523.76
CTSL	58	59	899	1865.29
DCTN1	76	77	15785	25095.3
FUS	83	84	21913	31934.5
FYN	59	60	7097	14479.8
GALC	55	56	1719	3757.73
GBA	66	67	1837	3356.39
GCH1	56	57	478	1026.58
GRN	65	66	1824	3383.13
GSTO1	56	57	316	678.657
GUSB	59	60	484	987.489
HMBS	62	63	474	921.034
HMOX1	66	67	63	115.108
HNRNPA2B1	50	51	29702	71294.1
KIF5A	62	63	23094	44874.2
LRRK2	53	54	185	419.388
MAPT	69	70	20858	36476.5
MCCC1	57	301.631	803	325.895
NAGLU	70	71	203	350.006
NBR1	61	62	2730	5390.25
NEU1	70	71	1884	3248.33
NQO1	84	85	51	73.4496
OPTN	64	65	2747	5173.49
OXR1	72	73	3330	5584.18
PARK2	55	56	132	288.552
PARK7	62	63	9985	19402
PFN1	77	78	14289	22425.7
PINK1	67	68	2212	3982.12
PSAP	71	72	26893	45724.1
PSMB4	64	65	3907	7358.14
SCARB2	63	64	12309	23544
SETX	60	61	1559	3128.63
SNCA	58	301.631	11256	4568.21
SOD1	62	63	5668	11013.6
SQSTM1	66	67	3770	6888.18
STX17	57	58	735	1551.31
TARDBP	60	61	8464	16985.7
TAX1BP1	63	64	3547	6784.52
TBK1	59	60	714	1456.75
TMEM106B	54	55	1408	3133.85
TMEM175	70	71	3067	5288.02
VAPB	64	65	4405	8296.04
VCP	70	71	11519	19860.7
VPS13C	54	55	2684	5973.9
VPS35	68	69	3008	5336.63
CLN8	63	64	307	587.214
CHCHD10	72	73	1826	3062.08
CHCHD2	65	66	3	5.56436
GAPDH	135	27.7401	91313	402960
