target_id	length	eff_length	est_counts	tpm
ACTB	72	82.3197	472742	354798
ALS2	69	70	849	749.325
ANXA11	65	66	67	62.7179
ATP13A2	74	75	7316	6026.61
ATP6V0A1	54	55	16776	18844.6
C1orf43	66	67	10781	9941.34
C9orf72	56	57	3677	3985.47
CALCOCO2	54	55	230	258.36
CHMP2B	60	61	1959	1984.11
CLN5	74	75	926	762.799
CRLS1	61	62	2535	2526.08
CTSB	74	75	6731	5544.71
CTSD	75	76	994	808.041
CTSL	58	59	1286	1346.63
DCTN1	76	77	22775	18273.8
FUS	83	880.983	47469	3328.92
FYN	59	60	12454	12823.8
GALC	55	56	2746	3029.51
GBA	66	67	2778	2561.64
GCH1	56	57	755	818.338
GRN	65	66	2316	2167.98
GSTO1	56	57	636	689.355
GUSB	59	60	760	782.569
HMBS	62	63	772	757.072
HMOX1	66	67	65	59.9376
HNRNPA2B1	50	51	79900	96791.5
KIF5A	62	63	45249	44374
LRRK2	53	54	270	308.909
MAPT	69	70	26163	23091.4
MCCC1	57	53.9004	1229	1408.71
NAGLU	70	71	202	175.774
NBR1	61	62	4246	4231.06
NEU1	70	71	2630	2288.54
NQO1	84	85	60	43.6107
OPTN	64	65	3155	2998.79
OXR1	72	73	5575	4718.27
PARK2	55	56	252	278.018
PARK7	62	63	16521	16201.5
PFN1	77	78	17460	13829.6
PINK1	67	68	2505	2275.93
PSAP	71	72	37226	31942.9
PSMB4	64	65	5224	4965.36
SCARB2	63	64	24285	23443.3
SETX	60	61	2560	2592.81
SNCA	58	53.9004	19578	22440.7
SOD1	62	63	9954	9761.52
SQSTM1	66	67	5784	5333.52
STX17	57	58	1075	1145.09
TARDBP	60	61	15802	16004.5
TAX1BP1	63	64	5563	5370.19
TBK1	59	60	1018	1048.23
TMEM106B	54	55	2229	2503.85
TMEM175	70	880.983	4374	306.741
VAPB	64	65	6617	6289.39
VCP	70	71	18179	15818.7
VPS13C	54	55	4066	4567.36
VPS35	68	69	10957	9810.77
CLN8	63	64	461	445.022
CHCHD10	72	73	2590	2191.98
CHCHD2	65	66	5	4.68044
GAPDH	81	82	223066	168066
