target_id	length	eff_length	est_counts	tpm
ACTB	72	305.829	90731	49570.2
ALS2	69	70	584	1393.99
ANXA11	65	66	49	124.05
ATP13A2	74	75	6841	15240.6
ATP6V0A1	54	55	10922	33180.5
C1orf43	66	67	7408	18474.4
C9orf72	56	57	2193	6428.47
CALCOCO2	54	55	207	628.856
CHMP2B	60	61	1321	3618.4
CLN5	74	75	661	1472.6
CRLS1	61	62	1631	4395.48
CTSB	74	75	5510	12275.4
CTSD	75	76	946	2079.8
CTSL	58	59	899	2545.96
DCTN1	76	77	15785	34252.9
FUS	83	84	21913	43587.9
FYN	59	60	7097	19763.7
GALC	55	56	1719	5128.99
GBA	66	67	1837	4581.19
GCH1	56	57	478	1401.19
GRN	65	66	1824	4617.69
GSTO1	56	57	316	926.309
GUSB	59	60	484	1347.84
HMBS	62	63	474	1257.13
HMOX1	66	67	63	157.112
HNRNPA2B1	50	51	29702	97310.4
KIF5A	62	63	23094	61249.5
LRRK2	53	54	185	572.429
MAPT	69	70	20858	49787.3
MCCC1	57	305.829	803	438.713
NAGLU	70	71	203	477.729
NBR1	61	62	2730	7357.24
NEU1	70	71	1884	4433.7
NQO1	84	85	51	100.252
OPTN	64	65	2747	7061.37
OXR1	72	73	3330	7621.93
PARK2	55	56	132	393.849
PARK7	62	63	9985	26482
PFN1	77	78	14289	30609.1
PINK1	67	68	2212	5435.26
PSAP	71	72	26893	62409.5
PSMB4	64	65	3907	10043.2
SCARB2	63	64	12309	32135.6
SETX	60	61	1559	4270.32
SNCA	58	305.829	11256	6149.64
SOD1	62	63	5668	15032.6
SQSTM1	66	67	3770	9401.79
STX17	57	58	735	2117.4
TARDBP	60	61	8464	23184.1
TAX1BP1	63	64	3547	9260.3
TBK1	59	60	714	1988.34
TMEM106B	54	55	1408	4277.44
TMEM175	70	71	3067	7217.71
VAPB	64	65	4405	11323.4
VCP	70	71	11519	27108.2
VPS13C	54	55	2684	8153.87
VPS35	68	69	3008	7284.04
CLN8	63	64	307	801.498
CHCHD10	72	73	1826	4179.47
CHCHD2	65	66	3	7.59488
GAPDH	81	82	91219	185873
