target_id	length	eff_length	est_counts	tpm
ACTB	72	310.092	72036	32212.6
ALS2	69	70	539	1067.72
ANXA11	65	66	38	79.8373
ATP13A2	74	75	5948	10997
ATP6V0A1	54	55	40	100.847
C1orf43	66	67	5345	11062.1
C9orf72	56	57	2154	5240.07
CALCOCO2	54	55	163	410.952
CHMP2B	60	61	1216	2764.2
CLN5	74	75	646	1194.37
CRLS1	61	62	1483	3316.77
CTSB	74	75	4204	7772.62
CTSD	75	76	1006	1835.48
CTSL	58	59	912	2143.43
DCTN1	76	77	11663	21003.2
FUS	83	84	18589	30686.2
FYN	59	60	5490	12687.8
GALC	55	56	1133	2805.49
GBA	66	67	1465	3032
GCH1	56	57	528	1284.47
GRN	65	66	1501	3153.57
GSTO1	56	57	305	741.978
GUSB	59	60	312	721.057
HMBS	62	63	491	1080.71
HMOX1	66	67	45	93.1331
HNRNPA2B1	50	51	21545	58579.1
KIF5A	62	63	16114	35467.4
LRRK2	53	54	142	364.637
MAPT	69	70	14642	29004.7
MCCC1	57	310.092	604	270.093
NAGLU	70	71	147	287.095
NBR1	61	62	1844	4124.16
NEU1	70	71	2013	3931.44
NQO1	84	85	43	70.1481
OPTN	64	65	1947	4153.54
OXR1	72	73	3218	6112.65
PARK2	55	56	113	279.806
PARK7	62	63	6750	14856.9
PFN1	77	78	13092	23274.4
PINK1	67	68	1901	3876.5
PSAP	71	72	18669	35954.6
PSMB4	64	65	2696	5751.39
SCARB2	63	64	9931	21516.9
SETX	60	61	1095	2489.15
SNCA	58	310.092	9521	4257.53
SOD1	62	63	4507	9920.04
SQSTM1	66	67	2872	5943.96
STX17	57	58	566	1353.18
TARDBP	60	61	6882	15644.1
TAX1BP1	63	64	2675	5795.76
TBK1	59	60	562	1298.83
TMEM106B	54	55	952	2400.16
TMEM175	70	71	2286	4464.62
VAPB	64	65	3078	6566.31
VCP	70	71	9203	17973.7
VPS13C	54	55	2075	5231.45
VPS35	68	69	6348	12757.2
CLN8	63	64	350	758.323
CHCHD10	72	73	1506	2860.67
CHCHD2	65	66	4	8.40393
GAPDH	135	27.5406	98296	494914
