target_id	length	eff_length	est_counts	tpm
ACTB	72	73	72144	187383
ALS2	69	70	678	1836.48
ANXA11	65	66	68	195.352
ATP13A2	74	75	3528	8919.1
ATP6V0A1	54	55	8536	29427
C1orf43	66	67	6043	17101.4
C9orf72	56	57	2194	7298.2
CALCOCO2	54	55	158	544.689
CHMP2B	60	61	1078	3350.76
CLN5	74	75	678	1714.05
CRLS1	61	62	2024	6189.74
CTSB	74	75	2882	7285.96
CTSD	75	76	352	878.179
CTSL	58	59	879	2824.82
DCTN1	76	77	9833	24213
FUS	83	84	17687	39923.5
FYN	59	60	7323	23141.5
GALC	55	56	1839	6226.55
GBA	66	67	1694	4793.94
GCH1	56	57	468	1556.77
GRN	65	66	1839	5283.14
GSTO1	56	57	400	1330.57
GUSB	59	60	479	1513.69
HMBS	62	63	612	1841.89
HMOX1	66	67	75	212.246
HNRNPA2B1	50	51	32907	122341
KIF5A	62	63	19399	58383.8
LRRK2	53	54	175	614.467
MAPT	69	70	6520	17660.5
MCCC1	57	58	1009	3298.5
NAGLU	70	71	106	283.075
NBR1	61	62	2773	8480.32
NEU1	70	71	1604	4283.51
NQO1	84	85	38	84.7654
OPTN	64	65	1748	5098.96
OXR1	72	73	3366	8742.69
PARK2	55	56	12	40.63
PARK7	62	63	9930	29885.6
PFN1	77	78	5214	12674.5
PINK1	67	68	1149	3203.8
PSAP	71	72	12197	32119.9
PSMB4	64	65	3242	9457
SCARB2	63	64	12241	36265.3
SETX	60	61	1521	4727.74
SNCA	58	59	12625	40572.6
SOD1	62	63	5839	17573.2
SQSTM1	66	67	3601	10190.7
STX17	57	58	711	2324.32
TARDBP	60	61	8769	27256.8
TAX1BP1	63	64	3679	10899.4
TBK1	59	60	652	2060.39
TMEM106B	54	55	1478	5095.25
TMEM175	70	71	2899	7741.83
VAPB	64	65	4577	13351.2
VCP	70	71	9505	25383.3
VPS13C	54	55	2617	9021.84
VPS35	68	69	6773	18611.7
CLN8	63	64	302	894.707
CHCHD10	72	73	1698	4410.31
CHCHD2	65	66	0	0
GAPDH	135	28.0708	9176	61980.2
