target_id	length	eff_length	est_counts	tpm
ACTB	72	73	41249	144237
ALS2	69	70	488	1779.54
ANXA11	65	66	68	262.996
ATP13A2	74	75	1924	6548.3
ATP6V0A1	54	55	7920	36757.6
C1orf43	66	67	4859	18512.2
C9orf72	56	57	2056	9207.32
CALCOCO2	54	55	190	881.812
CHMP2B	60	61	924	3866.58
CLN5	74	75	506	1722.16
CRLS1	61	62	1410	5805.14
CTSB	74	75	2285	7776.96
CTSD	75	76	231	775.86
CTSL	58	59	814	3521.74
DCTN1	76	77	7281	24137.1
FUS	83	84	10465	31801.3
FYN	59	60	6431	27359.8
GALC	55	56	1957	8920.47
GBA	66	67	1626	6194.85
GCH1	56	57	457	2046.57
GRN	65	66	1456	5631.22
GSTO1	56	57	386	1728.61
GUSB	59	60	499	2122.92
HMBS	62	63	400	1620.71
HMOX1	66	67	37	140.965
HNRNPA2B1	50	51	28770	143997
KIF5A	62	63	16046	65014.6
LRRK2	53	54	154	727.967
MAPT	69	70	2864	10443.8
MCCC1	57	58	788	3468.03
NAGLU	70	71	74	266.047
NBR1	61	62	2703	11128.6
NEU1	70	71	1372	4932.65
NQO1	84	85	28	84.0861
OPTN	64	65	1436	5639.31
OXR1	72	73	3409	11920.4
PARK2	55	56	204	929.88
PARK7	62	63	8805	35675.8
PFN1	77	78	2745	8983.23
PINK1	67	68	966	3626.21
PSAP	71	72	6976	24732
PSMB4	64	65	2600	10210.5
SCARB2	63	64	11482	45795.5
SETX	60	61	1847	7728.98
SNCA	58	59	10343	44748.6
SOD1	62	63	5598	22681.8
SQSTM1	66	67	3547	13513.6
STX17	57	58	685	3014.72
TARDBP	60	61	8561	35824.5
TAX1BP1	63	64	3067	12232.6
TBK1	59	60	759	3229.06
TMEM106B	54	55	1743	8089.46
TMEM175	70	71	2199	7905.91
VAPB	64	65	3350	13155.8
VCP	70	71	9298	33428.4
VPS13C	54	55	2662	12354.6
VPS35	68	69	5281	19536.7
CLN8	63	64	307	1224.46
CHCHD10	72	73	1485	5192.64
CHCHD2	65	66	3	11.6028
GAPDH	135	28.1788	1677	15191.3
