target_id	length	eff_length	est_counts	tpm
ACTB	72	73	24608	150515
ALS2	69	70	342	2181.5
ANXA11	65	66	25	169.131
ATP13A2	74	75	1259	7495.36
ATP6V0A1	54	55	5142	41744.3
C1orf43	66	67	2715	18093.5
C9orf72	56	57	1476	11562.2
CALCOCO2	54	55	129	1047.26
CHMP2B	60	61	632	4626.1
CLN5	74	75	362	2155.14
CRLS1	61	62	783	5638.94
CTSB	74	75	1282	7632.28
CTSD	75	76	159	934.139
CTSL	58	59	499	3776.39
DCTN1	76	77	4927	28570.6
FUS	83	1311.49	6542	2227.28
FYN	59	60	3451	25681.6
GALC	55	56	1224	9759.36
GBA	66	67	1087	7244.07
GCH1	56	57	217	1699.86
GRN	65	66	775	5243.07
GSTO1	56	57	191	1496.19
GUSB	59	60	370	2753.46
HMBS	62	63	276	1956.12
HMOX1	66	67	22	146.614
HNRNPA2B1	50	51	17066	149413
KIF5A	62	63	9110	64566.3
LRRK2	53	54	92	760.715
MAPT	69	70	2223	14179.8
MCCC1	57	58	576	4434.27
NAGLU	70	71	45	282.997
NBR1	61	62	1695	12206.9
NEU1	70	71	728	4578.26
NQO1	84	85	14	73.5422
OPTN	64	65	989	6793.77
OXR1	72	73	1980	12110.7
PARK2	55	56	2	15.9467
PARK7	62	63	4576	32432
PFN1	77	78	2175	12450.7
PINK1	67	68	477	3132.11
PSAP	71	72	4188	25971.8
PSMB4	64	65	1301	8937
SCARB2	63	64	6838	47706.4
SETX	60	61	1212	8871.57
SNCA	58	59	5862	44363.1
SOD1	62	63	3182	22552.1
SQSTM1	66	67	1620	10796.1
STX17	57	58	574	4418.87
TARDBP	60	61	5585	40881
TAX1BP1	63	64	1629	11365
TBK1	59	60	404	3006.48
TMEM106B	54	55	1147	9311.69
TMEM175	70	1311.49	1750	595.802
VAPB	64	65	1897	13031.1
VCP	70	71	5145	32356
VPS13C	54	55	1862	15116.3
VPS35	68	69	3363	21762.3
CLN8	63	64	145	1011.62
CHCHD10	72	73	802	4905.45
CHCHD2	65	66	3	20.2957
GAPDH	81	82	2064	11238.9
