target_id	length	eff_length	est_counts	tpm
ACTB	72	73	40947	130676
ALS2	69	70	524	1743.93
ANXA11	65	66	71	250.617
ATP13A2	74	75	1805	5606.76
ATP6V0A1	54	55	9302	39401.2
C1orf43	66	67	3357	11672.7
C9orf72	56	57	2440	9972.66
CALCOCO2	54	55	224	948.814
CHMP2B	60	61	1430	5461.38
CLN5	74	75	364	1130.67
CRLS1	61	62	1916	7199.46
CTSB	74	75	1326	4118.87
CTSD	75	76	56	171.66
CTSL	58	59	958	3782.76
DCTN1	76	77	2731	8262.79
FUS	83	2033.38	7671	878.88
FYN	59	60	10872	42213.8
GALC	55	56	2570	10691.6
GBA	66	67	1661	5775.51
GCH1	56	57	513	2096.71
GRN	65	66	1574	5555.93
GSTO1	56	57	511	2088.54
GUSB	59	60	657	2551
HMBS	62	63	508	1878.53
HMOX1	66	67	36	125.177
HNRNPA2B1	50	51	47048	214915
KIF5A	62	63	22696	83927.6
LRRK2	53	54	255	1100.13
MAPT	69	70	1629	5421.49
MCCC1	57	58	957	3843.97
NAGLU	70	71	70	229.687
NBR1	61	62	3931	14770.9
NEU1	70	71	1899	6231.07
NQO1	84	85	9	24.6672
OPTN	64	65	1176	4214.92
OXR1	72	73	2891	9226.16
PARK2	55	56	320	1331.24
PARK7	62	63	3938	14562.3
PFN1	77	78	548	1636.75
PINK1	67	68	627	2148.1
PSAP	71	72	4396	14224
PSMB4	64	65	2353	8433.43
SCARB2	63	64	12854	46790.1
SETX	60	61	2149	8207.34
SNCA	58	59	15513	61254.7
SOD1	62	63	7367	27242.4
SQSTM1	66	67	3514	12218.6
STX17	57	58	874	3510.58
TARDBP	60	61	12231	46711.9
TAX1BP1	63	64	4382	15951
TBK1	59	60	862	3346.97
TMEM106B	54	55	2268	9606.74
TMEM175	70	2033.38	1995	228.571
VAPB	64	65	4161	14913.5
VCP	70	71	7036	23086.8
VPS13C	54	55	2906	12309.2
VPS35	68	69	5301	17898
CLN8	63	64	321	1168.48
CHCHD10	72	73	862	2750.93
CHCHD2	65	66	2	7.05963
GAPDH	135	28.8696	285	2299.85
