target_id	length	eff_length	est_counts	tpm
ACTB	72	73	19547	132936
ALS2	69	70	297	2106.41
ANXA11	65	66	29	218.141
ATP13A2	74	75	1057	6996.77
ATP6V0A1	54	55	4420	39897.3
C1orf43	66	67	2210	16375.8
C9orf72	56	57	1338	11653.7
CALCOCO2	54	55	75	676.99
CHMP2B	60	61	423	3442.66
CLN5	74	75	266	1760.78
CRLS1	61	62	666	5332.94
CTSB	74	75	937	6202.43
CTSD	75	76	116	757.754
CTSL	58	59	534	4493.38
DCTN1	76	77	4276	27569.6
FUS	83	84	5755	34013.4
FYN	59	60	2830	23416.3
GALC	55	56	1070	9485.92
GBA	66	67	824	6105.71
GCH1	56	57	185	1611.32
GRN	65	66	644	4844.24
GSTO1	56	57	204	1776.8
GUSB	59	60	269	2225.79
HMBS	62	63	242	1907.03
HMOX1	66	67	20	148.197
HNRNPA2B1	50	51	14993	145949
KIF5A	62	63	8132	64082.7
LRRK2	53	54	111	1020.5
MAPT	69	70	1832	12993.1
MCCC1	57	58	464	3971.68
NAGLU	70	71	37	258.718
NBR1	61	62	1483	11875
NEU1	70	71	563	3936.71
NQO1	84	85	15	87.6105
OPTN	64	65	823	6285.94
OXR1	72	73	1824	12404.7
PARK2	55	56	6	53.1921
PARK7	62	63	4269	33641
PFN1	77	78	1649	10495.7
PINK1	67	68	364	2657.52
PSAP	71	72	3401	23450.8
PSMB4	64	65	1182	9027.92
SCARB2	63	64	5580	43285.1
SETX	60	61	1070	8708.39
SNCA	58	59	5423	45632.2
SOD1	62	63	2605	20528.2
SQSTM1	66	67	1462	10833.2
STX17	57	58	338	2893.16
TARDBP	60	61	4676	38056.5
TAX1BP1	63	64	1493	11581.5
TBK1	59	60	306	2531.94
TMEM106B	54	55	987	8909.19
TMEM175	70	71	1611	11264.7
VAPB	64	65	1682	12846.8
VCP	70	71	4206	29410
VPS13C	54	55	1879	16960.9
VPS35	68	69	2511	18066.8
CLN8	63	64	147	1140.31
CHCHD10	72	73	727	4944.19
CHCHD2	65	66	1	7.52211
GAPDH	135	27.9626	1366	24252.6
