target_id	length	eff_length	est_counts	tpm
ACTB	72	148.754	91187	105293
ALS2	69	70	644	1580.24
ANXA11	65	66	32	83.2803
ATP13A2	74	75	5893	13496.2
ATP6V0A1	54	55	9857	30783.5
C1orf43	66	67	7165	18368.7
C9orf72	56	57	2325	7006.23
CALCOCO2	54	55	159	496.559
CHMP2B	60	61	1383	3894.29
CLN5	74	75	789	1806.97
CRLS1	61	62	1737	4812.21
CTSB	74	75	4974	11391.5
CTSD	75	76	846	1912.02
CTSL	58	59	862	2509.52
DCTN1	76	77	15388	34326.3
FUS	83	643.396	24201	6460.87
FYN	59	60	7249	20752.1
GALC	55	56	1426	4373.89
GBA	66	67	1811	4642.8
GCH1	56	57	505	1521.78
GRN	65	66	2023	5264.88
GSTO1	56	57	328	988.405
GUSB	59	60	429	1228.12
HMBS	62	63	509	1387.76
HMOX1	66	67	58	148.693
HNRNPA2B1	50	51	28866	97219.3
KIF5A	62	63	21857	59591.8
LRRK2	53	54	154	489.85
MAPT	69	70	16206	39766.2
MCCC1	57	148.754	788	909.901
NAGLU	70	71	164	396.754
NBR1	61	62	2648	7336.05
NEU1	70	71	1928	4664.28
NQO1	84	85	51	103.059
OPTN	64	65	2392	6320.97
OXR1	72	73	3234	7609.45
PARK2	55	56	127	389.54
PARK7	62	63	9316	25399.5
PFN1	77	78	13323	29338.9
PINK1	67	68	1892	4779.12
PSAP	71	72	22026	52546
PSMB4	64	65	3402	8989.95
SCARB2	63	64	12587	33781.5
SETX	60	61	1476	4156.16
SNCA	58	148.754	10821	12495
SOD1	62	63	5379	14665.5
SQSTM1	66	67	3522	9029.23
STX17	57	58	582	1723.58
TARDBP	60	61	8549	24072.5
TAX1BP1	63	64	3318	8904.97
TBK1	59	60	632	1809.26
TMEM106B	54	55	1305	4075.53
TMEM175	70	643.396	3283	876.453
VAPB	64	65	4277	11302.2
VCP	70	71	10633	25723.7
VPS13C	54	55	2646	8263.49
VPS35	68	69	1019	2536.65
CLN8	63	64	329	882.982
CHCHD10	72	73	1740	4094.14
CHCHD2	65	66	6	15.6151
GAPDH	81	82	96057	201211
