target_id	length	eff_length	est_counts	tpm
ACTB	72	73	15701	139063
ALS2	69	70	212	1958.14
ANXA11	65	66	17	166.537
ATP13A2	74	75	841	7250.05
ATP6V0A1	54	55	3559	41838.1
C1orf43	66	67	1584	15285.7
C9orf72	56	57	970	11002.8
CALCOCO2	54	55	53	623.045
CHMP2B	60	61	357	3783.94
CLN5	74	75	197	1698.29
CRLS1	61	62	593	6184
CTSB	74	75	705	6077.63
CTSD	75	76	92	782.673
CTSL	58	59	392	4295.76
DCTN1	76	77	2915	24476.8
FUS	83	84	4727	36384.2
FYN	59	60	2285	24623
GALC	55	56	662	7643.22
GBA	66	67	660	6369.06
GCH1	56	57	163	1848.92
GRN	65	66	523	5123.47
GSTO1	56	57	161	1826.24
GUSB	59	60	207	2230.62
HMBS	62	63	187	1919.14
HMOX1	66	67	20	193.002
HNRNPA2B1	50	51	11366	144093
KIF5A	62	63	6541	67128.9
LRRK2	53	54	89	1065.62
MAPT	69	70	1183	10926.8
MCCC1	57	58	352	3923.93
NAGLU	70	71	31	282.299
NBR1	61	62	1251	13045.8
NEU1	70	71	510	4644.28
NQO1	84	85	13	98.885
OPTN	64	65	647	6435.72
OXR1	72	73	1475	13064
PARK2	55	56	106	1223.84
PARK7	62	63	3113	31948.1
PFN1	77	78	1352	11207
PINK1	67	68	28	266.229
PSAP	71	72	2536	22773.1
PSMB4	64	65	891	8862.79
SCARB2	63	64	4430	44753.8
SETX	60	61	912	9666.54
SNCA	58	59	4365	47834.2
SOD1	62	63	1926	19766.1
SQSTM1	66	67	1250	12062.6
STX17	57	58	303	3377.7
TARDBP	60	61	3764	39895.7
TAX1BP1	63	64	1162	11739
TBK1	59	60	288	3103.47
TMEM106B	54	55	698	8205.38
TMEM175	70	71	1146	10436
VAPB	64	65	1311	13040.5
VCP	70	71	3414	31089.3
VPS13C	54	55	1231	14471.1
VPS35	68	69	1887	17681.9
CLN8	63	64	120	1212.29
CHCHD10	72	73	495	4384.18
CHCHD2	65	66	1	9.7963
GAPDH	81	82	1729	13632.9
