target_id	length	eff_length	est_counts	tpm
ACTB	72	73	73711	21800
ALS2	69	70	562	173.334
ANXA11	65	66	29	9.48637
ATP13A2	74	75	1464	421.431
ATP6V0A1	54	55	10210	4007.83
C1orf43	66	67	5964	1921.8
C9orf72	56	57	2387	904.115
CALCOCO2	54	55	177	69.4795
CHMP2B	60	61	1227	434.271
CLN5	74	75	692	199.201
CRLS1	61	62	1811	630.628
CTSB	74	75	5645	1624.98
CTSD	75	76	810	230.101
CTSL	58	59	950	347.63
DCTN1	76	77	14079	3947.55
FUS	83	5	22441	96898.8
FYN	59	60	5952	2141.7
GALC	55	56	1583	610.294
GBA	66	67	1602	516.219
GCH1	56	57	428	162.112
GRN	65	66	1479	483.805
GSTO1	56	57	347	131.432
GUSB	59	60	437	157.245
HMBS	62	63	568	194.65
HMOX1	66	67	67	21.5897
HNRNPA2B1	50	51	29401	12446.2
KIF5A	62	63	20434	7002.6
LRRK2	53	54	165	65.9685
MAPT	69	70	18000	5551.63
MCCC1	57	58	762	283.644
NAGLU	70	71	143	43.4834
NBR1	61	62	2149	748.326
NEU1	70	71	1565	475.885
NQO1	84	6	32	115.145
OPTN	64	65	1927	640.051
OXR1	72	73	3909	1156.08
PARK2	55	56	148	57.0584
PARK7	62	63	9141	3132.56
PFN1	77	78	12883	3565.9
PINK1	67	68	1971	625.783
PSAP	71	72	21250	6371.95
PSMB4	64	65	3068	1019.03
SCARB2	63	64	12802	4318.61
SETX	60	61	1280	453.029
SNCA	58	59	8559	3131.97
SOD1	62	63	5291	1813.19
SQSTM1	66	67	3057	985.069
STX17	57	58	692	257.587
TARDBP	60	61	8578	3036
TAX1BP1	63	64	3423	1154.71
TBK1	59	60	729	262.315
TMEM106B	54	55	1211	475.365
TMEM175	70	71	3353	1019.58
VAPB	64	65	3795	1260.51
VCP	70	71	9298	2827.34
VPS13C	54	55	2325	912.655
VPS35	68	69	5877	1838.88
CLN8	63	64	322	108.623
CHCHD10	72	73	1705	504.252
CHCHD2	65	66	2	0.654233
GAPDH	81	3	110372	794299
